New CSS variables,Old SCSS variables,Note
--breadcrumb-padding,$breadcrumb-padding,
--breadcrumb-link-color,$breadcrumb-link-color,
--breadcrumb-label-color,$breadcrumb-label-color,
--breadcrumb-active-color,$breadcrumb-active-color,
--breadcrumb-divider-color,$breadcrumb-divider-color,
--breadcrumb-bg-color,$breadcrumb-background-color,
,,
--left-menu-box-shadow,$sub-tree-box-shadow,
--left-menu-border-radius,$sub-tree-generel-border-radius,
,,
--mega-menu-bg-color,$mega-menu-bg-color,
,,
,,
BUTTONS,,
--button-universal-padding,$button-padding,
--button-universal-text-transform,$button-text-transform,
--button-universal-font-size,$button-font-size,
--button-universal-font-weight,$button-font-weight,
--button-universal-border-radius,$button-border-radius,
--button-universal-font-family,$button-font-family,
,,
--button-outline-border-size,$button-outline-border-size,
,,
--link-arrow-text-font-weight,$link-arrow-text-font-weight,
--link-arrow-text-font-family,$link-arrow-text-font-family,
--link-arrow-text-transform,,
,,
ICONS,,
--icon-default-font-family,$icon-system-light,
--icon-alternate-font-family,$icon-system,
--icon-default-font-size,$icon-font-size,
--icon-font-weight,$icon-circle-weight,
--icon-small-font-size,$icon-small-font-size,
--icon-background-size,$icon-circle-size-desktop,
--icon-background-border-radius,$icon-circle-border-radius,
,,
LABEL,,
--label-border-radius,$label-border-radius,
--label-text-transform,$label-text-transform,
--label-font-family,$label-font-family,
--label-font-weight,$label-font-weight,
--label-padding,$label-padding,
,,
FORMS,,
--form-field-height,$form-field-height,
,,
APSPECT RATIOS,,
--aspect-ratio-default,$aspect-ratio,
--hero-ratio-full-width,$hero-aspect-ratio-full-width,
--hero-ratio-desktop,$hero-aspect-ratio,
--hero-ratio-mobile,$hero-aspect-ratio-mobile,
--hero-split-box-ratio-full-width,$hero-split-box-ratio-full-width,
--hero-split-box-ratio-desktop,$hero-split-box-ratio,
--hero-split-box-ratio-mobile,$hero-split-box-ratio-mobile,
